name,group
Ash Kalra,Bay Area Air Quality Management District
Carol Klatt,Bay Area Air Quality Management District
Liz Kniss,Bay Area Air Quality Management District
Edwin M. Lee,Bay Area Air Quality Management District
Jan Pepper,Bay Area Air Quality Management District
Mary Piepho,Bay Area Air Quality Management District
Mark Ross,Bay Area Air Quality Management District
Jim Spering,Bay Area Air Quality Management District
Brad Wagenknecht,Bay Area Air Quality Management District
Shirlee Zane,Bay Area Air Quality Management District
Nate Miley,Bay Area Air Quality Management District
Carole Groom,Bay Area Air Quality Management District
Eric Mar,Bay Area Air Quality Management District
Jay P. Huish,San Francisco Employees’ Retirement System
Caryn Bortnick,San Francisco Employees’ Retirement System
"William J. Coaker, Jr",San Francisco Employees’ Retirement System
Norm Nickens,San Francisco Employees’ Retirement System
Victor Makras,San Francisco Employees’ Retirement System
Malia Cohen,San Francisco Employees’ Retirement System
Leona Bridges,San Francisco Employees’ Retirement System
Joseph D. Driscoll,San Francisco Employees’ Retirement System
Herb Meiberger,San Francisco Employees’ Retirement System
Wendy Paskin-Jordan,San Francisco Employees’ Retirement System
Brian Stansbury,San Francisco Employees’ Retirement System
London Breed,Governmental Affairs and Public Information Committee
Michael Hardeman,San Francisco Fire Commission
Francee Covington,San Francisco Fire Commission
Joanne Hayes-White,San Francisco Fire Commission
Andrea Evans,San Francisco Fire Commission
Stephen Nakajo,San Francisco Fire Commission
London Breed,"Golden Gate Bridge, Highway and Transportation District"
David Campos,"Golden Gate Bridge, Highway and Transportation District"
Eric Mar,"Golden Gate Bridge, Highway and Transportation District"
Scott Wiener,"Golden Gate Bridge, Highway and Transportation District"
Norman Yee,"Golden Gate Bridge, Highway and Transportation District"
Dick Grosboll,"Golden Gate Bridge, Highway and Transportation District"
James C. Eddie,"Golden Gate Bridge, Highway and Transportation District"
J. Dietrich Stroeh,"Golden Gate Bridge, Highway and Transportation District"
Judy Arnold,"Golden Gate Bridge, Highway and Transportation District"
Gina Belforte,"Golden Gate Bridge, Highway and Transportation District"
Gerald D. Cochran,"Golden Gate Bridge, Highway and Transportation District"
Alice Fredericks,"Golden Gate Bridge, Highway and Transportation District"
John J. Moylan,"Golden Gate Bridge, Highway and Transportation District"
Barbara L. Pahre,"Golden Gate Bridge, Highway and Transportation District"
David A. Rabbitt,"Golden Gate Bridge, Highway and Transportation District"
Janet Reilly,"Golden Gate Bridge, Highway and Transportation District"
Kathrin Sears,"Golden Gate Bridge, Highway and Transportation District"
Dave Snyder,"Golden Gate Bridge, Highway and Transportation District"
Brian M. Sobel,"Golden Gate Bridge, Highway and Transportation District"
Michael Theriault,"Golden Gate Bridge, Highway and Transportation District"
David Campos,"Golden Gate Bridge, Highway and Transportation District - Neighborhood Services and Safety Committee"
David Campos,"Golden Gate Bridge, Highway and Transportation District - Government Audit & Oversight Committee"
John J. Moylan,"Golden Gate Bridge, Highway and Transportation District - Building and Operating Committee"
John J. Moylan,"Golden Gate Bridge, Highway and Transportation District - Finance-Auditing Committee"
John J. Moylan,"Golden Gate Bridge, Highway and Transportation District - Governmental Affairs and Public Information Committee"
John J. Moylan,"Golden Gate Bridge, Highway and Transportation District - Other Post-Employment Benefits (OPEB) Retirement Investment Trust Board"
Dick Grosboll,"Golden Gate Bridge, Highway and Transportation District - Transportation Committee"
Dick Grosboll,"Golden Gate Bridge, Highway and Transportation District - Finance-Auditing Committee"
Dick Grosboll,"Golden Gate Bridge, Highway and Transportation District - Other Post-Employment Benefits (OPEB) Retirement Investment Trust Board"
Janet Reilly,"Golden Gate Bridge, Highway and Transportation District - Finance-Auditing Committee"
Janet Reilly,"Golden Gate Bridge, Highway and Transportation District - Other Post-Employment Benefits (OPEB) Retirement Investment Trust Board"
Dave Snyder,"Golden Gate Bridge, Highway and Transportation District - Governmental Affairs and Public Information Committee"
Dave Snyder,"Golden Gate Bridge, Highway and Transportation District - Rules, Policy and Industrial Relations Committee"
Dave Snyder,"Golden Gate Bridge, Highway and Transportation District - Transportation Committee"
Michael Theriault,"Rules, Policy and Industrial Relations Committee"
Michael Theriault,Building and Operating Committee
 ,
 ,
Scott Wiener,Governmental Affairs and Public Information
 ,
Scott Wiener,Metropolitan Transportation Commission - San Francisco
